Unnamed: 0,lon,lat,hh,cluster,year,prov,dist,gyga_cz,sgrids_clay,sgrids_silt,sgrids_sand,sgrids_type,sgrids_ph,sgrids_hp,aez_zones,aez_descr,aez_class,hh_size,relationship_head,gender,age,education,marital_status,labour_days_farmwork,labour_days_offarmwork,dont_know,no_title,title,fsize_ha1,title_perc,fallow,other_tenure,own_cult,rented_in,rented_out,fsize_ha2,own_cult_perc,fallow_perc,Cashew nut,Coffee,Greengram,Kenaf,Soya beans,cash,cassava,cereal,legume,maize,other_crop,rice,root_tuber,cultland_ha,maize_perc,cassava_perc,rice_perc,totfert_kg,maizeprod_kg,cassava_50kgbag,maize_sales_kg,maize_sales_zwm,hirlab_cost_ZMW,cattle,smallrum,tlu,assets_zwb,cash_zwb,cash_food_perc,any_business_yesno,offarmwork_yesno,mz_purchase_zwb
16002,31.29603,-9.35192,15,7050,2012,Northern,Mbala,7601.0,29.038321811297102,14.2502883810375,56.86637025962279,sandy_clay_loam,5.624948446605389,0.06832904048938099,III,Northern High Rainfall Zone,Relative Food Se,8,Head,Male,50.0,Form 3; Grade 10,Monogamously married,,,0.0,11.5,0.0,11.5,0.0,1.0,5.625,4.875,0.0,0.0,11.5,42.391304347826086,8.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.0,0.0,0.0,0.125,3.375,59.25925925925926,0.0,0.0,500.0,6900.0,0.0,2875.0,3099999.9999999995,,0.0,0.0,0.88,1050000.0,0.0,0.0,No,No,0.0
16003,31.29604,-9.352030000000001,15,7050,2015,Northern,Mbala,7601.0,29.038321811297102,14.2502883810375,56.86637025962279,sandy_clay_loam,5.624948446605389,0.06832904048938099,III,Northern High Rainfall Zone,Relative Food Se,8,Head,Male,53.0,Form 4; Grade 11,Monogamously married,20 days or more,More to farm work,0.0,11.0,0.0,11.0,0.0,1.0,8.0,2.0,0.0,0.0,11.0,18.181818181818183,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,2.0,75.0,0.0,0.0,600.0,6210.0,0.0,4657.5,5265.0,550.0,5.0,0.0,5.32,7550.0,0.0,0.0,No,No,0.0
16004,31.296045798808304,-9.3520204955712,15,7050,2019,Northern,Mbala,7601.0,29.038321811297102,14.2502883810375,56.86637025962279,sandy_clay_loam,5.624948446605389,0.06832904048938099,III,Northern High Rainfall Zone,Relative Food Se,8,Head,Male,57.0,Standard 2; Grade 3,Monogamously married,20 days or more,More to other activities,0.0,11.5,0.0,11.5,0.0,0.0,8.0,3.5,0.0,0.0,11.5,30.434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,2.0,0.0,0.0,0.0,3.125,64.0,0.0,0.0,800.0,5750.0,0.0,3450.0,3599.999964237213,2000.0,0.0,0.0,1.4000000000000001,12730.0,1000.0,0.0,No,No,0.0
16005,31.2961599603295,-9.3584769917652,19,7050,2019,Northern,Mbala,7601.0,23.7647166877734,13.880029470546,62.200966969283705,sandy_clay_loam,5.60375284668963,0.145974349894241,III,Northern High Rainfall Zone,Relative Food Se,7,Head,Male,47.0,Standard 6; Grade 7,Monogamously married,20 days or more,More to farm work,0.0,3.030000001192093,0.0,3.030000001192093,0.0,0.4050000011920929,1.0,1.625,0.0,0.0,3.030000001192093,53.630363015203834,13.366336667747648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.125,0.0,0.0,0.125,1.5,75.0,0.0,0.0,450.0,3162.5,0.0,575.0,750.0000268220901,100.0,0.0,0.0,0.62,23350.0,0.0,0.0,No,No,0.0
16006,31.296440000000004,-9.937389999999999,219,7072,2012,Northern,Mungwi,7501.0,21.627282067166,11.1540897885173,67.4523687686378,sandy_clay_loam,5.53387284114222,0.475634580481553,III,Northern High Rainfall Zone,Relative Food Se,2,Head,Male,67.0,None,Monogamously married,,,0.0,9.0,0.0,9.0,0.0,2.0,3.0,4.0,0.0,0.0,9.0,44.44444444444444,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,0.0,0.0,0.0,2.75,72.72727272727273,0.0,0.0,800.0,7762.5,0.0,6900.0,7799999.999999999,,0.0,0.0,1.4000000000000001,1600000.0,5000000.0,0.0,No,No,0.0
16007,31.296529999999997,-9.35525,19,7050,2015,Northern,Mbala,7601.0,28.280662830707396,13.292430107686698,59.09477530308661,sandy_clay_loam,5.629149484401809,0.10426475650457,III,Northern High Rainfall Zone,Relative Food Se,7,Head,Male,43.0,Standard 6; Grade 7,Monogamously married,20 days or more,More to farm work,0.0,9.0,0.0,9.0,0.0,0.0,4.0,5.0,0.0,0.0,9.0,55.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,60.0,0.0,0.0,800.0,14950.0,0.0,13800.0,16800.0,7200.0,0.0,0.0,0.6,5060.0,0.0,0.0,No,No,0.0
16008,31.29797622,-10.33543299,251,7026,2019,Northern,Kasama,7501.0,26.007100319723897,13.5708244163025,60.6171352164159,sandy_clay_loam,5.525,0.366276424974786,III,Northern High Rainfall Zone,Relative Food Se,6,Head,Male,58.0,Form 2; Grade 9,Monogamously married,20 days or more,More to farm work,0.0,5.875,0.0,5.875,0.0,0.75,4.0,1.125,0.0,0.0,5.875,19.148936170212767,12.76595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.625,0.0,0.0,0.0,0.875,71.42857142857143,0.0,0.0,250.0,1265.0,0.0,690.0,900.0000321865082,,0.0,0.0,0.0,19350.0,0.0,0.0,Yes,No,0.0
16009,31.299429999999997,-14.379420000000001,201,3091,2015,Eastern,Petauke,7401.0,25.9427836221701,19.915327963511103,54.15149208886889,sandy_clay_loam,6.14905690535791,0.151627070338103,IIa,"Central, Southern and Eastern Plateaus",Transitory Food,7,Head,Male,34.0,Standard 2; Grade 3,Divorced,20 days or more,More to farm work,0.125,1.745,0.0,1.87,0.0,0.0,0.0,1.745,0.125,0.0,1.87,93.31550802139037,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.0,0.0,0.125,1.215,0.125,0.0,0.0,1.87,64.97326203208557,0.0,0.0,200.0,2300.0,0.0,0.0,0.0,,6.0,0.0,6.0,8200.0,0.0,0.0,No,No,0.0
16010,31.300320000000003,-9.365730000000001,26,7050,2012,Northern,Mbala,7601.0,23.4610035814814,13.443033355503301,63.3735124946464,sandy_clay_loam,5.50773440027166,0.10939068081440899,III,Northern High Rainfall Zone,Relative Food Se,9,Head,Male,45.0,Standard 1; Grade 2,Monogamously married,,,0.0,5.625,0.0,5.625,0.0,0.5,2.125,3.0,0.0,0.0,5.625,53.333333333333336,8.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,1.0,0.0,0.0,0.0,2.5,40.0,0.0,0.0,200.0,2012.5,0.0,2012.5,2274999.9999999995,,0.0,0.0,0.78,700000.0,50000.0,0.0,Yes,No,57213.93034825871
16011,31.300369687378396,-9.36570018064231,26,7050,2019,Northern,Mbala,7601.0,23.4610035814814,13.443033355503301,63.3735124946464,sandy_clay_loam,5.50773440027166,0.10939068081440899,III,Northern High Rainfall Zone,Relative Food Se,10,Head,Male,52.0,Standard 5; Grade 6,Monogamously married,20 days or more,More to farm work,0.0,18.25,0.0,18.25,0.0,2.0,9.0,7.25,0.0,0.0,18.25,39.726027397260275,10.95890410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,2.300000011920929,0.0,0.0,0.25,4.800000011920929,47.916666796017026,0.0,0.0,800.0,5527.5,0.0,3450.0,4500.000160932541,4600.0,0.0,3.0,1.4000000000000001,4100.0,3000.0,0.0,Yes,No,0.0
