"","country","var","importance","rank"
"120","Togo","maizeyield",0.508921042065128,1
"121","Uganda","cropland",0.124390354401174,9
"122","Uganda","cattle",0.136025575907612,7
"123","Uganda","pop",0.165417504137794,2
"124","Uganda","cropland_per_capita",0.148677629097006,3
"125","Uganda","sand",0.14094768020523,5
"126","Uganda","slope",0.128169690933046,8
"127","Uganda","temperature",0.213650836862415,1
"128","Uganda","rainfall",0.124240399329333,10
"129","Uganda","market",0.139422515337654,6
"130","Uganda","maizeyield",0.148133883135955,4
"131","Zambia","cropland",0.553063176109433,2
"132","Zambia","cattle",0.45641053318261,6
"133","Zambia","pop",0.27479298912208,10
"134","Zambia","cropland_per_capita",0.290427862813613,9
"135","Zambia","sand",0.543306884948976,4
"136","Zambia","slope",0.324330566911433,7
"137","Zambia","temperature",0.485073305054568,5
"138","Zambia","rainfall",1.21893118317564,1
"139","Zambia","market",0.312657850749965,8
"140","Zambia","maizeyield",0.546574396432999,3
