aez,avg,med,std,gini,tot_cropland,nb,nb_0.5,cropland_0.5,prop_0.5,nb_1,cropland_1,prop_1,nb_2,cropland_2,prop_2
humid,1.5207150511832679,1.0792455675995565,1.3769046240669056,0.42811535860453764,1049.2933853164548,690,111,39.323891439954686,0.03747654563560891,319,192.02451928092393,0.18300364985433654,529,493.34432327556425,0.4701681437997222
sub-humid,1.6819670357011876,1.312786709303981,1.3612184500608462,0.407463443615999,452.4491326036195,269,28,9.511806020180524,0.021022929064853802,99,60.46809450957744,0.13364617180635016,204,214.14033288498942,0.47329150937414427
semi-arid,1.7790412455659081,1.3297361660486877,1.6502992441215234,0.42326367781572916,1867.9933078442036,1050,130,45.35805283155583,0.024281699854643606,393,245.52622827805348,0.131438494585084,734,739.9132762937124,0.39610060335153163
arid,2.0861548211595657,1.5296723237100183,1.903819742685706,0.42961806647756856,2528.4196432453937,1212,115,39.67809700286802,0.015692844781073825,359,220.96181083211283,0.08739127281438684,765,807.2285551462325,0.3192620961092128
tropical highlands,1.115248354831202,0.8644144464773156,0.9088974346882172,0.40443386256314623,711.5284503823069,638,152,45.611119841826756,0.06410301628461902,359,195.43028420736064,0.2746626422349735,553,464.03107822879434,0.6521609613494284
sub-tropical,1.0480426074923068,0.8150597641352156,0.9415183236484421,0.4060123369495944,357.38252915487664,341,84,25.81808081967394,0.07224214591778581,208,116.21843949973965,0.3251933992816274,307,245.7721688420224,0.6877005695359933
