"aez","prop_prop_area_< 0.5 ha","prop_prop_area_0.5 - 1 ha","prop_prop_area_1 - 2 ha","prop_prop_area_2 - 5 ha","prop_prop_area_> 5 ha","prop_prop_farms_< 0.5 ha","prop_prop_farms_0.5 - 1 ha","prop_prop_farms_1 - 2 ha","prop_prop_farms_2 - 5 ha","prop_prop_farms_> 5 ha"
"humid",3.7,14.6,28.7,39.6,13.4,16.1,30.1,30.4,20.3,3
"sub-humid",2.1,11.3,34,38.5,14.2,10.4,26.4,39,20.1,4.1
"semi-arid",2.4,10.7,26.5,44.2,16.2,12.4,25,32.5,26.3,3.8
"tropical highlands",6.4,21.1,37.7,31.2,3.6,23.8,32.4,30.4,12.7,0.6
"sub-tropical",7.2,25.3,36.3,24.2,7,24.6,36.4,29,8.8,1.2
NA,1.6,7.2,23.2,45.3,22.7,9.5,20.1,33.5,30.4,6.4
